id,code,name,user_type_id:id,reconcile,chart_template_id:id
ID_C139930,139930,ANTICIPOS Y AVANCES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C139932,139932,CUENTAS DE OPERACION CONJUNTA,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C139935,139935,DEPOSITOS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C139940,139940,PROMESAS DE COMPRAVENTA,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C139945,139945,INGRESOS POR COBRAR,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C139950,139950,RETENCION SOBRE CONTRATOS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C139955,139955,RECLAMACIONES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C139960,139960,CUENTAS POR COBRAR A TRABAJADORES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C139965,139965,PRESTAMOS A PARTICULARES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C139975,139975,DEUDORES VARIOS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C139980,139980,DERECHOS DE RECOMPRA DE CARTERA NEGOCIADA,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C140501,140501,MATERIAS PRIMAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C140560,140560,MATERIAS PRIMAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C141001,141001,PRODUCTOS EN PROCESO,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C141099,141099,AJUSTES POR INFLACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C141599,141599,AJUSTES POR INFLACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C141799,141799,AJUSTES POR INFLACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C142099,142099,AJUSTES POR INFLACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C142599,142599,AJUSTES POR INFLACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C143005,143005,PRODUCTOS MANUFACTURADOS ,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C143010,143010,PRODUCTOS EXTRAÍDOS Y/O PROCESADOS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C143015,143015,PRODUCTOS AGRÍCOLAS Y FORESTALES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C143020,143020,SUBPRODUCTOS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C143025,143025,PRODUCTOS DE PESCA,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C143099,143099,AJUSTES POR INFLACIÓN,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C143501,143501,MERCANCIAS NO FABRICADAS POR LA EMPRESA,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C144099,144099,AJUSTES POR INFLACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C144505,144505,ESPECIES MAYORES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C144510,144510,ESPECIES MENORES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C144599,144599,AJUSTES POR INFLACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C145005,145005,POR URBANIZAR,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C145010,145010,URBANIZADOS POR CONSTRUIR,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C145099,145099,AJUSTES POR INFLACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C145505,145505,COMBUSTIBLES Y LUBRICANTES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C145510,145510,ABONOS Y FERTILIZANTES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C145515,145515,SEMILLAS TERMINADAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C145520,145520,FUNGICIDAS Y HERBICIDAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C145525,145525,MATERIALES Y REPUESTOS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C145530,145530,LOZA Y CRISTALERIA,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C145535,145535,HERRAMIENTAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C145540,145540,MEDICINAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C145545,145545,ELEMENTOS HOSPITALARIOS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C145550,145550,INSTRUMENTAL QUIRURGICO,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C145555,145555,DOTACION Y SUMINISTRO A TRABAJADORES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C145560,145560,ELEMENTOS DE ROPERIA Y LENCERIA,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C145595,145595,OTROS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C145599,145599,AJUSTES POR INFLACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C146099,146099,AJUSTES POR INFLACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C146520,146520,INVENTARIOS EN TRANSITO,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C146599,146599,AJUSTES POR INFLACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C149905,149905,PARA OBSOLESCENCIA,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C149910,149910,PARA DIFERENCIA DE INVENTARIO FISICO,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C149915,149915,PARA PERDIDAS DE INVENTARIOS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C149920,149920,LIFO,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C150405,150405,URBANOS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C150410,150410,RURALES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C150499,150499,AJUSTES POR INFLACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C150605,150605,TUBERIAS Y EQUIPO,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C150610,150610,COSTOS DE IMPORTACION MATERIALES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C150615,150615,PROYECTOS DE CONSTRUCCION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C150699,150699,AJUSTES POR INFLACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C150805,150805,CONSTRUCCIONES Y EDIFICACIONES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C150810,150810,ACUEDUCTOS PLANTAS Y REDES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C150815,150815,VIAS DE COMUNICACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C150820,150820,POZOS ARTESIANOS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C150825,150825,PROYECTOS DE EXPLORACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C150830,150830,PROYECTOS DE DESARROLLO,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C150899,150899,AJUSTES POR INFLACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151205,151205,MAQUINARIA Y EQUIPO,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151210,151210,EQUIPO DE OFICINA,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C151215,151215,EQUIPO DE COMPUTACION Y COMUNICACION,account.data_account_type_current_assets,false,l10n_co_comercial
